subject_id,speech_rate,speech_rate_ratio,verbal_fluency,lexical_richness,word_repetition_score,voice_fluency_pauses,voice_fluency_weighted,pause_level1_count,pause_level2_count,pause_level3_count,total_pause_time,total_speaking_time
0233,0.6644,0.96,30,26,0.1538,5,5,5,0,0,14.38,30.77
0234,0.7621,0.96,35,24,0.25,3,7,2,0,1,18.71,27.21
0235,0.2518,1.0,14,14,0.0,9,17,6,2,1,45.32,10.28
0236,0.4302,1.0,22,19,0.1579,8,12,6,2,0,38.4,12.75
0237,0.4417,1.0,21,21,0.0,7,15,4,2,1,36.4,11.14
0238,0.604,1.0,29,16,0.3125,5,11,3,1,1,27.2,20.81
0239,0.2639,1.0,14,14,0.0,4,12,2,0,2,42.34,10.71
0240,0.1857,0.83,10,10,0.0,2,6,1,0,1,46.17,7.68
0241,0.4549,0.92,23,23,0.0,8,16,4,4,0,34.92,15.64
0242,0.4558,0.94,25,23,0.087,8,14,6,1,1,38.29,16.55
0243,0.7596,1.0,30,28,0.0714,3,3,3,0,0,8.69,30.8
0244,0.3492,0.89,17,17,0.0,6,14,3,2,1,36.58,12.1
0245,0.7296,0.96,34,26,0.1923,5,9,3,2,0,26.98,19.62
0246,0.2985,1.0,17,17,0.0,5,17,1,2,2,50.79,6.16
0247,0.451,1.0,22,19,0.1579,6,12,4,1,1,36.83,11.95
0248,0.2775,1.0,16,9,0.3333,6,14,4,0,2,45.93,11.74
0249,0.2229,1.0,12,12,0.0,6,18,2,2,2,44.61,9.22
0250,0.2104,1.0,12,12,0.0,7,19,2,4,1,45.34,11.69
0251,0.453,0.95,23,21,0.0952,6,12,4,1,1,36.74,14.02
0252,0.3232,1.0,19,13,0.2308,5,17,2,0,3,49.91,8.87
0253,0.6547,0.96,33,23,0.2609,9,13,7,2,0,32.23,18.18
0254,0.4406,0.93,22,18,0.2222,8,14,6,1,1,34.79,15.14
0255,0.2836,1.0,16,15,0.0667,12,14,11,1,0,41.31,15.11
0256,0.4273,1.0,21,20,0.05,5,9,3,2,0,26.1,23.05
0257,0.4768,1.0,25,21,0.1905,5,13,2,2,1,37.96,14.47
0258,0.7083,1.0,35,29,0.1724,7,11,5,2,0,29.06,20.35
0259,0.2231,0.86,13,13,0.0,8,20,2,6,0,51.32,6.96
0260,1.0025,0.97,51,35,0.4,3,5,2,1,0,15.36,35.51
0261,0.7818,1.0,38,34,0.0588,5,7,4,1,0,19.37,29.23
0262,0.7634,1.0,35,28,0.25,7,9,6,1,0,20.35,25.5
0263,0.8593,0.96,39,32,0.1875,4,6,3,1,0,16.66,28.73
0264,0.2486,1.0,14,14,0.0,6,14,3,2,1,47.19,9.13
0265,0.4042,1.0,21,18,0.1111,9,13,7,2,0,35.27,16.69
0266,0.5536,0.94,25,24,0.0417,5,9,3,2,0,26.02,19.13
0267,0.4981,0.94,25,24,0.0417,9,13,7,2,0,34.34,15.85
0268,1.2361,0.98,63,54,0.1296,0,0,0,0,0,0.0,50.97
0269,0.4798,0.97,23,20,0.1,2,2,2,0,0,4.38,43.56
0270,0.5784,1.0,29,29,0.0,7,11,5,2,0,30.81,19.33
0271,0.7731,0.96,34,30,0.1,5,7,4,1,0,16.61,27.36
0272,0.4496,0.93,24,22,0.0909,10,12,9,1,0,35.69,17.69
0273,0.7677,0.97,31,30,0.0333,2,2,2,0,0,4.73,35.65
0274,0.4983,1.0,24,23,0.0435,5,9,4,0,1,22.29,25.87
0275,0.2386,0.88,13,12,0.0833,6,18,1,4,1,46.08,8.4
0276,0.4456,1.0,21,20,0.05,6,12,4,1,1,33.22,13.9
0277,0.384,1.0,20,19,0.0526,8,12,7,0,1,35.57,16.51
0278,0.8195,1.0,39,30,0.1333,4,4,4,0,0,15.19,32.4
0279,0.2114,0.86,12,12,0.0,6,14,3,2,1,42.25,14.5
0280,0.561,0.94,29,28,0.0357,10,10,10,0,0,30.23,21.47
0281,0.5639,1.0,28,28,0.0,9,9,9,0,0,27.52,22.13
0282,0.638,0.95,30,25,0.2,6,8,5,1,0,21.33,25.7
0283,0.7914,0.96,37,29,0.2414,8,10,7,1,0,24.6,22.15
0284,0.8675,0.97,40,31,0.2581,6,8,5,1,0,20.29,25.83
0285,1.2073,1.0,56,43,0.2791,3,3,3,0,0,10.49,35.9
0286,0.6095,0.96,31,28,0.1071,6,12,3,3,0,27.08,23.79
0287,0.4402,0.93,24,22,0.0909,6,12,4,1,1,32.3,22.21
0288,0.9529,1.0,34,23,0.2174,1,1,1,0,0,3.16,32.52
0289,0.5995,0.95,35,15,0.2667,5,11,2,3,0,27.88,30.51
0290,0.7717,0.96,42,40,0.05,5,9,4,0,1,26.81,27.61
0291,0.6587,1.0,32,26,0.1154,8,12,6,2,0,30.55,18.03
0292,0.5049,1.0,24,22,0.0909,3,9,1,1,1,30.01,17.52
0293,0.2852,0.88,15,15,0.0,6,14,3,2,1,42.77,9.82
0294,0.6114,0.97,32,22,0.3182,7,9,6,1,0,21.2,31.14
0295,0.4484,0.95,21,20,0.05,7,7,7,0,0,20.24,26.59
0296,0.2474,1.0,13,13,0.0,6,12,4,1,1,42.93,9.62
0297,0.4532,0.94,24,18,0.2222,9,11,8,1,0,33.38,19.57
0298,0.9164,0.97,39,35,0.0857,4,4,4,0,0,11.68,30.88
0299,0.4774,1.0,22,22,0.0,7,11,5,2,0,33.1,12.98
0300,0.6348,0.95,30,26,0.1154,5,11,3,1,1,29.57,17.69
0301,0.4557,1.0,23,23,0.0,7,11,5,2,0,28.72,21.75
0302,0.5303,0.95,24,18,0.2222,5,5,5,0,0,16.98,28.27
0303,0.4581,1.0,22,14,0.2857,5,15,2,1,2,36.73,11.28
0304,0.7252,0.96,36,35,0.0286,6,10,4,2,0,25.92,23.72
0305,0.4649,0.95,25,14,0.5,8,12,7,0,1,38.03,15.75
0306,1.373,1.0,53,41,0.2683,1,1,1,0,0,3.06,35.54
0307,0.4037,1.0,21,12,0.0833,5,15,2,1,2,45.67,6.34
0308,0.4313,0.94,24,23,0.0435,6,12,4,1,1,34.93,20.71
0309,0.2499,0.88,12,11,0.0909,6,18,1,4,1,41.08,6.94
0310,0.6403,0.95,31,28,0.0714,9,11,8,1,0,31.38,17.03
0311,0.0706,0.71,4,4,0.0,6,12,4,1,1,53.77,2.86
0312,1.0177,0.96,40,31,0.1935,3,5,2,1,0,10.53,28.78
0313,1.094,0.98,61,37,0.2432,6,8,5,1,0,24.34,31.42
0314,0.286,1.0,15,15,0.0,6,14,3,2,1,44.31,8.14
0315,0.3172,1.0,17,17,0.0,8,14,6,1,1,41.05,12.54
0316,0.2389,1.0,12,11,0.0909,8,16,6,0,2,43.32,6.92
